Division,Product Name,Factory
Chocolate,Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts
Chocolate,Wonka Bar - Fudge Mallows,Lot's O' Nuts
Chocolate,Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts
Chocolate,Wonka Bar - Milk Chocolate,Wicked Choccy's
Chocolate,Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's
Sugar,Laffy Taffy,Sugar Shack
Sugar,SweeTARTS,Sugar Shack
Sugar,Nerds,Sugar Shack
Sugar,Fun Dip,Sugar Shack
Other,Fizzy Lifting Drinks,Sugar Shack
Sugar,Everlasting Gobstopper,Secret Factory
Sugar,Hair Toffee,The Other Factory
Other,Lickable Wallpaper,Secret Factory
Other,Wonka Gum,Secret Factory
Other,Kazookles,The Other Factory
